geoid,geoid20,year,denom_adult_pop,voted_count,registered_count,registration_pct,voter_turnout_pct,denom_registered
1400000US06037127400,6037127400,2010,4098,651,1750,42.700001,37.200001,1750
1400000US06037127520,6037127520,2010,2717,165,588,21.6,28.1,588
1400000US06037127603,6037127603,2010,1892,292,659,34.799999,44.299999,659
1400000US06037127604,6037127604,2010,2340,385,1002,42.799999,38.400002,1002
1400000US06037127605,6037127605,2010,2879,373,922,32,40.5,922
1400000US06037127606,6037127606,2010,2306,528,1153,50,45.799999,1153
1400000US06037127711,6037127711,2010,2803,692,1281,45.700001,54,1281
1400000US06037127712,6037127712,2010,2197,386,783,35.599998,49.299999,783
1400000US06037127803,6037127803,2010,2930,519,1186,40.5,43.799999,1186
1400000US06037127804,6037127804,2010,2862,624,1416,49.5,44.099998,1416
1400000US06037127805,6037127805,2010,2788,491,1184,42.5,41.5,1184
1400000US06037127806,6037127806,2010,2511,381,914,36.400002,41.700001,914
1400000US06037127910,6037127910,2010,3884,440,1223,31.5,36,1223
1400000US06037127920,6037127920,2010,2934,675,1347,45.900002,50.099998,1347
1400000US06037128101,6037128101,2010,3007,661,1331,44.299999,49.700001,1331
1400000US06037128102,6037128102,2010,3098,500,1150,37.099998,43.5,1150
1400000US06037128210,6037128210,2010,3182,373,1010,31.700001,36.900002,1010
1400000US06037128220,6037128220,2010,2459,489,1152,46.799999,42.400002,1152
1400000US06037128302,6037128302,2010,3096,472,1193,38.5,39.599998,1193
1400000US06037128303,6037128303,2010,2701,232,578,21.4,40.099998,578
1400000US06037128400,6037128400,2010,3331,1196,2202,66.099998,54.299999,2202
1400000US06037128500,6037128500,2010,3535,1293,2279,64.5,56.700001,2279
1400000US06037128601,6037128601,2010,2759,989,2095,75.900002,47.200001,2095
1400000US06037128602,6037128602,2010,2279,887,1460,64.099998,60.799999,1460
1400000US06037128703,6037128703,2010,2327,952,1727,74.199997,55.099998,1727
1400000US06037128704,6037128704,2010,2340,957,1738,74.300003,55.099998,1738
1400000US06037128801,6037128801,2010,2891,936,1924,66.599998,48.599998,1924
1400000US06037128802,6037128802,2010,3519,1279,2444,69.5,52.299999,2444
1400000US06037128910,6037128910,2010,3039,1209,2283,75.099998,53,2283
1400000US06037131021,6037131021,2010,2322,430,1043,44.900002,41.200001,1043
1400000US06037131022,6037131022,2010,2080,386,935,45,41.299999,935
1400000US06037131023,6037131023,2010,1613,379,838,52,45.200001,838
