X,Y,OBJECTID,VCID,VC_Site_Name,VC_Site_Room,VC_Site_address,VC_Site_city,VC_Site_ZIP,Voting_Period_Type,number_of_BMDs,VC_Size
-13171105.9696,4024343.9105,3824,4710,True Friendship Missionary Baptist Church,Fellowship Hall,7901 S Van Ness Ave,Inglewood,90305,4 Day,,
-13169612.4652,4040406.1837,3825,567,Lemon Grove Recreation Center,Auditorium,4959 Lemon Grove Ave,Los Angeles,90029,4 Day,,
-13195633.4953,4090940.9635,3826,4592,Grace Baptist Church,Junior High Room,22833 Copper Hill Dr,Santa Clarita,91350,4 Day,,
-13176572.5678,4048409.1438,3827,4544,North Weddington Recreation Center,Gymnasium,10844 Acama St,North Hollywood,91602,4 Day,,
-13127859.2226,4033873.0304,3828,14237,Valinda School of Academics,Multi-Purpose Room-Cafeteria,1030 Indian Summer Ave,La Puente,91744,4 Day,,
-13148357.9741,4035868.4589,3829,6159,Garvey Ranch Park,Community Room,781 S Orange Ave,Monterey Park,91755,4 Day,,
-13165029.3238,4049625.2166,3830,14177,Glendale Express Hotel,Grand Ballroom,450 W Pioneer Dr,Glendale,91203,4 Day,,
-13131359.3697,4027824.046,3831,14407,Mesa Robles School,Multi-Purpose Room,16060 Mesa Robles Dr,Hacienda Heights,91745,4 Day,,
-13148653.6989,4044590.8079,3832,13701,Valentine Elementary School,Little Theater,1650 Huntington Dr,San Marino,91108,4 Day,,
-13123632.7322,4037518.0489,3833,5340,Cortez Park Community and Senior Center,North Wing,2501 E Cortez St,West Covina,91791,4 Day,,
-13111789.4869,4033583.2329,3834,5036,Ranch Hills Elementary School,Cafeteria,2 Trabuco Pl,Pomona,91766,4 Day,,
-13156961.0485,4025937.9642,3835,11791,El Hussein Community Center,Youth Center,4313 Gage Ave,Bell,90201,11 Day,,
-13185968.8912,4058133.7717,3836,10821,Goodwill Southern California,Community Room,14565 Lanark St,Panorama City,91402,4 Day,,
-13187326.2059,4028084.3958,3837,13316,Oakwood Recreation Center,Annex Room,767 California Ave,Venice,90291,11 Day,,
-13175436.3421,4014478.0715,3838,11826,Jane Addams Middle School,Gymnasium,4535 W 153rd Pl ,Lawndale,90260,4 Day,,
-13179630.582,4059861.6626,3839,9445,Fernangeles Elementary School,Auditorium,12001 Art St,Sun Valley,91352,4 Day,,
-13145644.6093,4027738.7274,3840,140,Pico Rivera Library,Meeting Room,9001 Mines Ave,Pico Rivera,90660,11 Day,,
-13136869.3843,4016065.4452,3841,11713,La Mirada Activity Center,Upstairs Meeting Room,13810 La Mirada Blvd,La Mirada,90638,11 Day,,
-13176812.7428,4026239.5403,3842,5357,La Tijera K-8 Academy of Excellence,Gymnasium,1415 N La Tijera Blvd,Inglewood,90302,4 Day,,
-13199245.3928,4058311.8189,3843,1909,Winnetka Avenue Elementary School,Auditorium,8240 Winnetka Ave,Winnetka,91306,4 Day,,
-13141619.6398,4012344.534,3844,14649,Whitney High School,Gymnasium,16800 Shoemaker Ave,Cerritos,90703,4 Day,,
-13178909.4559,4057532.6383,3845,13784,LA Family Housing,Winn Community Room,7843 Lankershim Blvd,North Hollywood,91605,11 Day,,
-13147557.8651,4029771.1945,3846,12815,Montebello Foursquare Church,Fellowship Hall,220 S 6th St   ,Montebello,90640,4 Day,,
-13194440.9675,4052051.549,3847,14468,St Paul's United Methodist Church,Cappleman Hall,5619 Lindley Ave,Tarzana,91356,4 Day,,
-13177222.3018,4016686.2228,3848,11484,Hollyglen Elementary School,Multi-Purpose Room,5309 W 135th St ,Hawthorne,90250,4 Day,,
-13149096.6495,4031624.403,3849,467,Montebello-Commerce YMCA,Multi-Purpose Room,2000 W Beverly Blvd,Montebello,90640,11 Day,,
-13146545.0726,4050318.0081,3850,3829,Victory Park Recreation Center,Gymnasium,2575 Paloma St,Pasadena,91107,4 Day,,
-13137585.8401,4048478.4569,3851,2948,Monrovia High School,Room 210,845 W Colorado Blvd ,Monrovia,91016,4 Day,,
-13150523.9691,4009953.5764,3852,3084,Mayfair Park,Activity Room,5720 Clark Ave,Lakewood,90712,11 Day,,
-13118668.307,4035083.2669,3853,11766,Mt San Antonio College,Building 6-160,1100 N Grand Ave,Walnut,91789,4 Day,,
-13187572.3729,4029630.1916,3854,10570,Marine Park,Auditorium,1406 Marine St,Santa Monica,90405,4 Day,,
-13166019.5374,4036201.925,3855,2802,Esperanza Elementary School,Multi-Purpose Room,680 Little St,Los Angeles,90017,4 Day,,
-13138927.6166,4105891.387,3856,13094,Los Angeles County Fire Station 93,Apparatus Bay,5624 E Avenue R,Palmdale,93552,4 Day,,
-13166108.22,4035313.03,3857,14483,10th Street Elementary School,Auditorium,1000 Grattan St,Los Angeles,90015,4 Day,,
-13176191.9041,4066108.6102,3858,6990,Brainard Avenue Elementary School,Auditorium,11407 Brainard Ave,Lake View Terrace,91342,4 Day,,
